date,week,title,module,page_link
2025-09-11T00:00:00Z,1,[Welcome & get ready for the course](https://ds4owd-002.github.io/website/modules/md-01.html),module 1,https://ds4owd-002.github.io/website/modules/md-01.html
2025-09-18T00:00:00Z,2,[Data science lifecycle & Exploratory data analysis using visualization](https://ds4owd-002.github.io/website/modules/md-02.html),module 2,https://ds4owd-002.github.io/website/modules/md-02.html
2025-09-25T00:00:00Z,3,[Data transformation with dplyr](https://ds4owd-002.github.io/website/modules/md-03.html),module 3,https://ds4owd-002.github.io/website/modules/md-03.html
2025-10-02T00:00:00Z,4,[Data import & Data organization in spreadsheets](https://ds4owd-002.github.io/website/modules/md-04.html),module 4,https://ds4owd-002.github.io/website/modules/md-04.html
2025-10-09T00:00:00Z,5,[Conditions & Dates & Tables](https://ds4owd-002.github.io/website/modules/md-05.html),module 5,https://ds4owd-002.github.io/website/modules/md-05.html
2025-10-16T00:00:00Z,6,[Data types & Vectors & For Loops](https://ds4owd-002.github.io/website/modules/md-06.html),module 6,https://ds4owd-002.github.io/website/modules/md-06.html
2025-10-23T00:00:00Z,7,[Pivoting & joining data](https://ds4owd-002.github.io/website/modules/md-07.html),module 7,https://ds4owd-002.github.io/website/modules/md-07.html
2025-10-30T00:00:00Z,8,[Creating and publishing scholarly articles with Quarto and GitHub pages](https://ds4owd-002.github.io/website/modules/md-08.html),module 8,https://ds4owd-002.github.io/website/modules/md-08.html
2025-11-06T00:00:00Z,9,[Bonus module: Use of AI for coding support](https://ds4owd-002.github.io/website/modules/md-09.html),module 9,https://ds4owd-002.github.io/website/modules/md-09.html
2025-11-13T00:00:00Z,10,[Work on Capstone project](https://ds4owd-002.github.io/website/project/index.html),NA,https://ds4owd-002.github.io/website/project/index.html
2025-11-20T00:00:00Z,11,[Work on Capstone project](https://ds4owd-002.github.io/website/project/index.html),NA,https://ds4owd-002.github.io/website/project/index.html
2025-11-27T00:00:00Z,12,Final submission date of Capstone project,NA,NA
2025-12-04T00:00:00Z,13,[Graduation of openwashdata academy](https://ds4owd-002.github.io/website/modules/md-10.html),module 10,https://ds4owd-002.github.io/website/modules/md-10.html
