start_time,end_time,duration,title,project_link,speaker,speaker_link,affiliation
1899-12-30T02:00:00Z,1899-12-30T02:15:00Z,1899-12-30T00:15:00Z,"Project reviews, certificates, post-course survey, data publication",NA,Lars Schöbitz,https://www.linkedin.com/in/larsschoebitz/,"Professor at ETH Zurich, Global Health Engineering"
1899-12-30T02:15:00Z,1899-12-30T02:20:00Z,1899-12-30T00:05:00Z,Welcome,NA,Elizabeth Tilley,https://www.linkedin.com/in/elizabeth-tilley-8103b38a/,"Open Science Specialist at ETH Zurich, Global Health Engineering"
1899-12-30T02:20:00Z,1899-12-30T02:25:00Z,1899-12-30T00:05:00Z,Water inequalities across CPLP member states,https://ds4owd-002.github.io/project-iamsilvia/,Sílvia Paiva,NA,NA
1899-12-30T02:25:00Z,1899-12-30T02:28:00Z,1899-12-30T00:03:00Z,1 Comment / Question & Speaker change,NA,NA,NA,NA
1899-12-30T02:28:00Z,1899-12-30T02:33:00Z,1899-12-30T00:05:00Z,Air quality trends in the last decade,https://ds4owd-002.github.io/project-quishqa/,Mario Gavidia-Calderón,NA,NA
1899-12-30T02:33:00Z,1899-12-30T02:36:00Z,1899-12-30T00:03:00Z,1 Comment / Question & Speaker change,NA,NA,NA,NA
1899-12-30T02:36:00Z,1899-12-30T02:41:00Z,1899-12-30T00:05:00Z,"Climate Variability in Kisumu County: An Analysis of Rainfall, Temperature, and Humidity (2021–2024)",https://ds4owd-002.github.io/project-ElishaOkoth/,Elisha Ochieng Okoth,NA,NA
1899-12-30T02:41:00Z,1899-12-30T02:44:00Z,1899-12-30T00:03:00Z,1 Comment / Question & Speaker change,NA,NA,NA,NA
1899-12-30T02:44:00Z,1899-12-30T02:49:00Z,1899-12-30T00:05:00Z,"Water Insecurity Experiences Among Rural Households in Chaharmahal and Bakhtiari Province, Iran",https://ds4owd-002.github.io/project-yousefia601/,Ali Yousefi,NA,NA
1899-12-30T02:49:00Z,1899-12-30T02:52:00Z,1899-12-30T00:03:00Z,1 Comment / Question & Speaker change,NA,NA,NA,NA
1899-12-30T02:52:00Z,1899-12-30T02:57:00Z,1899-12-30T00:05:00Z,"Faecal sludge truck logistics analysis in Kampala, Uganda",https://ds4owd-002.github.io/project-yozgoesdigital/,Jos van der Ent,NA,NA
1899-12-30T02:57:00Z,1899-12-30T03:00:00Z,1899-12-30T00:03:00Z,1 Comment / Question & Speaker change,NA,NA,NA,NA
1899-12-30T03:00:00Z,1899-12-30T03:05:00Z,1899-12-30T00:05:00Z,"Water, Sanitation, and Hygiene (WASH) Indicators in North African Countries",https://ds4owd-002.github.io/project-FarahArbi/,Farah Arbi,NA,NA
1899-12-30T03:05:00Z,1899-12-30T03:08:00Z,1899-12-30T00:03:00Z,1 Comment / Question & Speaker change,NA,NA,NA,NA
1899-12-30T03:08:00Z,1899-12-30T03:13:00Z,1899-12-30T00:05:00Z,Evaluating the performance of fecal sludge treatment technologies in Rohingya refugee camps,https://ds4owd-002.github.io/projectfstp-mejbahce1991/,Mejbah Uddin Chowdhury,NA,NA
1899-12-30T03:13:00Z,1899-12-30T03:16:00Z,1899-12-30T00:03:00Z,1 Comment / Question & Speaker change,NA,NA,NA,NA
1899-12-30T03:16:00Z,1899-12-30T03:30:00Z,1899-12-30T00:14:00Z,Closing,NA,Lars Schöbitz,NA,NA
