section,slides,est_time_min,notes
Quiz Module 1,1,3,Extended deadline announcement
Learning Objectives,1,2,Review week's goals
Data wrangling intro,1,3,Grammar of data wrangling
R fundamentals,1,2,Section header
Packages,1,3,Base R vs packages
Functions & Arguments (slide 1),1,2,Detailed explanation part 1
Functions & Arguments (slide 2),1,2,Detailed explanation part 2
Objects,1,2,Assignment operator
Operators,1,2,Pipe operator
Rules,1,2,dplyr rules
Plot example,1,3,Visualization demo
SDG 6.2.1 intro,1,1,Section header
Data slides (exploration),1,3,Data exploration part 1
Data slides (variables),1,2,Data exploration part 2
Our turn exercise,1,15,Hands-on practice
Break 1,1,10,Movement break
Your turn exercise 1,1,25,Student practice
R Terminology,1,3,Review concepts
Task 1.2,1,3,Filter example
Task 1.3 (setup),1,2,Connected scatterplot setup
Task 1.3 (output),1,3,Connected scatterplot result
Our turn continued,1,30,More practice
Break 2,1,5,Movement break
Your turn exercise 2,1,20,Final practice
Homework assignments,1,2,Assignment overview
Module 3 documentation,1,1,Documentation iframe
Wrap-up,1,1,Thank you
